SPECIES	Longitude	Latitude
Anemopaegma paraense 	-71.9330	-3.2330
Anemopaegma paraense 	-71.8160	-3.3330
Anemopaegma paraense 	-73.1000	-3.4830
Anemopaegma paraense 	-73.9000	-3.5830
Anemopaegma paraense 	-70.5000	-3.9160
Anemopaegma paraense 	-73.5830	-3.9160
Anemopaegma paraense 	-72.9160	-3.3330
Anemopaegma paraense 	-73.4160	-3.8000
Anemopaegma paraense 	-76.1660	-3.7500
Anemopaegma paraense 	-74.5000	-5.0330
Anemopaegma paraense 	-73.2470	-3.7480
Anemopaegma paraense 	-74.2500	-6.9330
Anemopaegma paraense 	-73.4833	-6.1833
Anemopaegma paraense 	-73.1910	-3.7880
Anemopaegma paraense 	-73.1240	-3.9870
Anemopaegma paraense 	-76.5830	-7.0580
Anemopaegma paraense 	-77.6660	-3.8330
Anemopaegma paraense 	-54.0000	5.4160
Anemopaegma paraense 	-52.8833	2.2500
Anemopaegma paraense 	-53.8333	3.3333
Anemopaegma paraense 	-52.3833	4.8333
Anemopaegma paraense 	-53.0500	5.0660
Anemopaegma paraense 	-52.1333	4.3167
Anemopaegma paraense 	-52.0160	3.6660
Anemopaegma paraense 	-52.4667	3.2167
Anemopaegma paraense 	-52.1500	4.1830
Anemopaegma paraense 	-53.7667	5.6500
Anemopaegma paraense 	-75.8667	-0.1167
Anemopaegma paraense 	-70.3330	0.2500
Anemopaegma paraense 	-70.3000	-3.8000
Anemopaegma paraense 	-51.9170	-2.6500
Anemopaegma paraense 	-54.6830	-2.4330
Anemopaegma paraense 	-50.7830	-3.3660
Anemopaegma paraense 	-54.6830	-2.4000
Anemopaegma paraense 	-51.9000	-1.1500
Anemopaegma paraense 	-46.1000	-1.2170
Anemopaegma paraense 	-49.9160	-4.0660
Anemopaegma paraense 	-52.2330	-1.7500
Anemopaegma paraense 	-50.0000	-1.7000
Anemopaegma paraense 	-55.5000	-1.8670
Anemopaegma paraense 	-49.5830	-0.0300
Anemopaegma paraense 	-50.5000	-0.2500
Anemopaegma paraense 	-48.4830	-1.4500
Anemopaegma paraense 	-45.9500	-4.0830
Anemopaegma paraense 	-61.1500	-3.7000
Anemopaegma paraense 	-66.3700	-3.5500
Anemopaegma paraense 	-60.0000	-3.1000
Anemopaegma paraense 	-60.0830	-2.3160
Anemopaegma paraense 	-52.0830	1.0000
Anemopaegma paraense 	-51.9160	3.7160
Anemopaegma paraense 	-51.1170	2.9170
Anemopaegma paraense 	-67.2500	-12.0167
Bignonia lilacina 	-62.8000	10.7160
Bignonia lilacina 	-61.5930	8.3710
Bignonia lilacina 	-62.4167	8.0330
Bignonia lilacina 	-62.9660	7.5830
Bignonia lilacina 	-63.3660	6.8830
Bignonia lilacina 	-62.8330	7.6500
Bignonia lilacina 	-61.6330	6.7330
Bignonia lilacina 	-61.1310	6.7350
Bignonia lilacina 	-70.4110	8.7620
Bignonia lilacina 	-66.0830	5.2500
Bignonia lilacina 	-66.0500	5.3000
Bignonia lilacina 	-66.2000	0.8330
Bignonia lilacina 	-57.1873	4.4392
Bignonia lilacina 	-75.1660	-8.6660
Bignonia lilacina 	-76.5500	-7.1830
Bignonia lilacina 	-76.3830	-6.5500
Bignonia lilacina 	-76.5830	-7.0580
Bignonia lilacina 	-69.5670	-13.1340
Bignonia lilacina 	-69.3000	-12.8160
Bignonia lilacina 	-69.0500	-12.4830
Bignonia lilacina 	-69.1500	-12.5830
Bignonia lilacina 	-69.0830	-12.5830
Bignonia lilacina 	-71.7000	-12.0840
Bignonia lilacina 	-72.8330	-3.4660
Bignonia lilacina 	-76.6000	-3.2500
Bignonia lilacina 	-76.1830	-11.3660
Bignonia lilacina 	-75.0160	-8.7500
Bignonia lilacina 	-72.6660	-12.7830
Bignonia lilacina 	-53.1660	5.0000
